Team,team_acronym,Conference,primary_color,secondary_color,third_color,urlThumbnailTeam
Milwaukee Bucks,MIL,Eastern,#002b5c, #e31837,NA,https://stats.nba.com/media/img/teams/logos/WAS_logo.svg
Toronto Raptors,TOR,Eastern,#002b5c, #f9a01b,NA,https://stats.nba.com/media/img/teams/logos/UTA_logo.svg
Boston Celtics,BOS,Eastern,#ce1141, #061922,NA,https://stats.nba.com/media/img/teams/logos/TOR_logo.svg
Indiana Pacers,IND,Eastern,#061922, #bac3c9,NA,https://stats.nba.com/media/img/teams/logos/SAS_logo.svg
Miami Heat,MIA,Eastern,#724c9f, #8e9090,NA,https://stats.nba.com/media/img/teams/logos/SAC_logo.svg
Philadelphia 76ers,PHI,Eastern,#061922, #e03a3e,NA,https://stats.nba.com/media/img/teams/logos/POR_logo.svg
Brooklyn Nets,BRK,Eastern,#e56020, #1d1160,NA,https://stats.nba.com/media/img/teams/logos/PHX_logo.svg
Orlando Magic,ORL,Eastern,#ed174c, #006bb6,NA,https://stats.nba.com/media/img/teams/logos/PHI_logo.svg
Charlotte Hornets,CHO,Eastern,#007dc5, #c4ced3,NA,https://stats.nba.com/media/img/teams/logos/ORL_logo.svg
Washington Wizards,WAS,Eastern,#007dc3, #F05133,NA,https://stats.nba.com/media/img/teams/logos/OKC_logo.svg
Chicago Bulls,CHI,Eastern,#006bb6, #f58426,NA,https://stats.nba.com/media/img/teams/logos/NYK_logo.svg
New York Knicks,NYK,Eastern,#002b5c, #e31837,NA,https://stats.nba.com/media/img/teams/logos/NOP_logo.svg
Detroit Pistons,DET,Eastern,#005083, #00a94f,NA,https://stats.nba.com/media/img/teams/logos/MIN_logo.svg
Atlanta Hawks,ATL,Eastern,#00471b, #f0ebd2,NA,https://stats.nba.com/media/img/teams/logos/MIL_logo.svg
Cleveland Cavaliers,CLE,Eastern,#98002e, #f9a01b,NA,https://stats.nba.com/media/img/teams/logos/MIA_logo.svg
Los Angeles Lakers,LAL,Western,#7399c6, #bed4e9, #fdb927,https://stats.nba.com/media/img/teams/logos/MEM_logo.svg
Los Angeles Clippers,LAC,Western,#fdb927, #552582,NA,https://stats.nba.com/media/img/teams/logos/LAL_logo.svg
Denver Nuggets,DEN,Western,#ed174c, #006bb6,NA,https://stats.nba.com/media/img/teams/logos/LAC_logo.svg
Houston Rockets,HOU,Western,#ffc633, #00275d, #bec0c2,https://stats.nba.com/media/img/teams/logos/IND_logo.svg
Oklahoma City Thunder,OKC,Western,#ce1141, #c4ced3, #061922,https://stats.nba.com/media/img/teams/logos/HOU_logo.svg
Utah Jazz,UTA,Western,#fdb927, #006bb6,NA,https://stats.nba.com/media/img/teams/logos/GSW_logo.svg
Dallas Mavericks,DAL,Western,#006bb6, #ed174c, #0f586c,https://stats.nba.com/media/img/teams/logos/DET_logo.svg
Portland Trail Blazers,POR,Western,#4d90cd, #fdb927,NA,https://stats.nba.com/media/img/teams/logos/DEN_logo.svg
Memphis Grizzlies,MEM,Western,#0064b1, #c4ced3, #061922,https://stats.nba.com/media/img/teams/logos/DAL_logo.svg
Phoenix Suns,PHO,Western,#860038, #fdbb30, #002d62,https://stats.nba.com/media/img/teams/logos/CLE_logo.svg
San Antonio Spurs,SAS,Western,#ce1141, #061922,NA,https://stats.nba.com/media/img/teams/logos/CHI_logo.svg
Sacramento Kings,SAC,Western,#1d1160, #008ca8, #a1a1a4,https://stats.nba.com/media/img/teams/logos/CHA_logo.svg
New Orleans Pelicans,NOP,Western,#061922, #061922, #bb9753,https://stats.nba.com/media/img/teams/logos/BKN_logo.svg
Minnesota Timberwolves,MIN,Western,#008348, #061922, #bb9753,https://stats.nba.com/media/img/teams/logos/BOS_logo.svg
Golden State Warriors,GSW,Western,#e13a3e, #c4d600, #061922,https://stats.nba.com/media/img/teams/logos/ATL_logo.svg
