team,team_acronym,conference,primary_color,secondary_color,third_color,previous_season_wins,previous_season_rank,team_logo
Milwaukee Bucks,MIL,Eastern,#00471b,#f0ebd2,NA,51,6,logos/mil.png
Toronto Raptors,TOR,Eastern,#ce1141,#061922,NA,48,10,logos/tor.png
Boston Celtics,BOS,Eastern,#008348,#061922,#bb9753,51,6,logos/bos.png
Indiana Pacers,IND,Eastern,#ffc633,#00275d,#bec0c2,25,26,logos/ind.png
Miami Heat,MIA,Eastern,#98002e,#f9a01b,NA,53,3,logos/mia.png
Philadelphia 76ers,PHI,Eastern,#ed174c,#006bb6,NA,51,6,logos/phi.png
Brooklyn Nets,BKN,Eastern,#061922,#061922,#bb9753,44,14,logos/bkn.png
Orlando Magic,ORL,Eastern,#007dc5,#c4ced3,NA,22,29,logos/orl.png
Charlotte Hornets,CHA,Eastern,#1d1160,#008ca8,#a1a1a4,43,16,logos/cha.png
Washington Wizards,WAS,Eastern,#002b5c,#e31837,NA,35,21,logos/was.png
Chicago Bulls,CHI,Eastern,#ce1141,#061922,NA,46,12,logos/cho.png
New York Knicks,NYK,Eastern,#006bb6,#f58426,NA,37,19,logos/nyk.png
Detroit Pistons,DET,Eastern,#006bb6,#ed174c,#0f586c,23,28,logos/det.png
Atlanta Hawks,ATL,Eastern,#e13a3e,#c4d600,#061922,43,16,logos/atl.png
Cleveland Cavaliers,CLE,Eastern,#860038,#fdbb30,#002d62,44,14,logos/cle.png
Los Angeles Lakers,LAL,Western,#fdb927,#552582,NA,33,23,logos/lal.png
Los Angeles Clippers,LAC,Western,#ed174c,#006bb6,NA,42,18,logos/lac.png
Denver Nuggets,DEN,Western,#4d90cd,#fdb927,NA,48,10,logos/dev.png
Houston Rockets,HOU,Western,#ce1141,#c4ced3,#061922,20,30,logos/hou.png
Oklahoma City Thunder,OKC,Western,#007dc3,#F05133,NA,24,27,logos/okc.png
Utah Jazz,UTA,Western,#002b5c,#f9a01b,NA,49,9,logos/uta.png
Dallas Mavericks,DAL,Western,#0064b1,#c4ced3,#061922,52,5,logos/dal.png
Portland Trail Blazers,POR,Western,#061922,#e03a3e,NA,27,25,logos/por.png
Memphis Grizzlies,MEM,Western,#7399c6,#bed4e9,#fdb927,56,2,logos/mem.png
Phoenix Suns,PHX,Western,#e56020,#1d1160,NA,64,1,logos/phx.png
San Antonio Spurs,SAS,Western,#061922,#bac3c9,NA,34,22,logos/sas.png
Sacramento Kings,SAC,Western,#724c9f,#8e9090,NA,30,24,logos/sac.png
New Orleans Pelicans,NOP,Western,#002b5c,#e31837,NA,36,20,logos/nop.png
Minnesota Timberwolves,MIN,Western,#005083,#00a94f,NA,46,12,logos/min.png
Golden State Warriors,GSW,Western,#fdb927,#006bb6,NA,53,3,logos/gsw.png
