player,team,rank
Trae Young,ATL,1
Dejounte Murray,ATL,2
Jayson Tatum,BOS,1
Jaylen Brown,BOS,2
Kevin Durant,BKN,1
Kyrie Irving,BKN,2
LaMelo Ball,CHA,1
Gordon Hayward,CHA,2
DeMar DeRozan,CHI,1
Zach LaVine,CHI,2
Darius Garland,CLE,1
Donovan Mitchell,CLE,2
Luka Doncic,DAL,1
Christian Wood,DAL,2
Nikola Jokic,DEN,1
Aaron Gordon,DEN,2
Cade Cunningham,DET,1
Jerami Grant,DET,2
Stephen Curry,GSW,1
Andrew Wiggins,GSW,2
Jalen Green,HOU,1
Kevin Porter,HOU,2
Tyrese Haliburton,IND,1
Myles Turner,IND,2
Paul George,LAC,1
Kawhi Leonard,LAC,2
LeBron James,LAL,1
Anthony Davis,LAL,2
Ja Morant,MEM,1
Dillon Brooks,MEM,2
Jimmy Butler,MIA,1
Kyle Lowry,MIA,2
Giannis Antetokounmpo,MIL,1
Khris Middleton,MIL,2
Karl-Anthony Towns,MIN,1
Anthony Edwards,MIN,2
Brandon Ingram,NOP,1
Zion Williamson,NOP,2
Julius Randle,NYK,1
Jalen Brunson,NYK,2
Shai Gilgeous-Alexander,OKC,1
Luguentz Dort,OKC,2
Cole Anthony,ORL,1
Franz Wagner,ORL,2
Joel Embiid,PHI,1
James Harden,PHI,2
Devin Booker,PHX,1
Chris Paul,PHX,2
Damian Lillard,POR,1
Anfernee Simons,POR,2
De'Aaron Fox,SAC,1
Harrison Barnes,SAC,2
Keldon Johnson,SAS,1
Jakob Poeltl,SAS,2
Fred VanVleet,TOR,1
Pascal Siakam,TOR,2
Jordan Clarkson,UTA,1
Mike Conley,UTA,2
Bradley Beal,WAS,1
Kyle Kuzma,WAS,2
